title	imdb
Megalobox	7.8
Midnight Diner	8.6
Mirai	7
My Shy Boss	7.1
Revolutionary Love	6.9
The Disaster Artist	7.3
The Stolen	6.3
High Strung Free Dance	6.8
Freej Al Taibeen	5.3
Kenny Sebastian: The Most Interesting Person in the Room	6
Space Force	6.7
The Other	6.6
"Can't Cope, Won't Cope"	7.3
Dorohedoro	8.1
Grandmother's Farm	2.8
Grandmother's Farm Part 2	5.1
Intuition	5.6
Mako Mermaids: An H2O Adventure	6.7
I'm No Longer Here	7.3
Hannah Gadsby: Douglas	7.6
Ne Zha	7.4
Supergirl	6.2
Uncut Gems	7.4
Betaal	5.4
Dynasty	6.4
One Day We'll Talk About Today	7.3
Si Doel the Movie 3	6.6
History 101	6.8
Living in Bondage: Breaking Free	5.1
Modest Heroes: Ponoc Short Films Theatre	6.6
The Lovebirds	6.1
Trailer Park Boys: The Animated Series	7.5
#FriendButMarried	6.7
Bye Bye London	8.6
Lock Your Girls In	2.1
Mujeres arriba	3.9
Mystic Pop-up Bar	8
No Longer kids	8.9
Raya and Sakina	8.1
Sayed the Servant	7.8
The Married Couples	8
The School of Mischief	8.8
The Witness Who Didn't See Anything	8.3
Anchor Baby	6.5
Ben Platt Live from Radio City Music Hall	8.3
Especial 20 años Fútbol de Primera	7.2
Honeytrap	5.8
I Will Follow	6.2
Mutiny of the Worker Bees	4.1
The Queen and the Conqueror	7.3
What Are the Odds?	5.3
Either Me Or My Auntie	5.5
Escaping Tel Aviv	7.3
Game Over	4.4
Karkar	3.3
My Sleeping Lover	3.5
Omar & Salma 2	4.8
Patton Oswalt: I Love Everything	6.4
Sweet Magnolias	7.3
Tarek's Situation	6.9
The Beach Loafer	4.8
Wadjda	7.5
Zaki Chan	6.6
Light in the Dark	6.3
The Big Flower Fight	7.4
Patriot Act with Hasan Minhaj	8.3
The End	8
Boys Over Flowers	7.8
Iris	7
Avatar: The Last Airbender	7.2
Heaven Without People	7.4
"I love you, stupid"	6.7
Inhuman Resources	7.2
Madam Secretary	7.8
Magic for Humans	7.2
Parasyte: The Maxim	8.3
She-Ra and the Princesses of Power	8.1
Sleepless Society: Two Pillows & A Lost Soul	5.6
Strangers from Hell	7.8
The Wiggles	5.9
White Lines	6.6
Dilan 1990	7
Dilan 1991	6.5
Fan of Amoory	6.3
Malang	6.5
Match	7.6
Rencor tatuado	5.1
The Delivery Boy	6.2
Wedy Atkalam	5.9
Fire in the Blood	7.7
The Wrong Missy	5.8
Ali & Alia	5.1
True: Terrific Tales	7
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend	6.9
Action Replayy	4.3
Andaz Apna Apna	8
Bordertown	7.6
Have a Good Trip: Adventures in Psychedelics	6.8
Trial By Media	7.1
John Henry	3.6
18 Presents	6.9
Dead to Me	7.9
Restaurants on the Edge	6.8
The Eddy	7.2
The Hollow	8.2
Aerials	1.5
In Paradox	7.2
Scissor Seven	8.4
Si Doel the Movie	6.8
Becoming	7
"Sí, Mi Amor"	3.9
Jerry Seinfeld: 23 Hours To Kill	6.7
Arctic Dogs	4.8
Luccas Neto em: Acampamento de Férias 2	3.1
One Day: Justice Delivered	5.1
Almost Happy	6.9
Bennett's War	6
Hangar 1: The UFO Files	7.2
Hoarders	6.5
Lady Driver	5.8
Dick Johnson Is Dead	7.4
Blood & Water	6.7
Ganglands	7.2
Jailbirds New Orleans	6.6
Kota Factory	9
Midnight Mass	7.7
My Little Pony: A New Generation	6.8
Sankofa	7
The Great British Baking Show	8.1
The Starling	6.4
"Vendetta: Truth, Lies and The Mafia"	6.7
Bangkok Breaking	5.9
Je Suis Karl	5.5
Confessions of an Invisible Girl	5.3
Crime Stories: India Detectives	7
Dear White People	6.4
Europe's Most Dangerous Man: Otto Skorzeny in Spain	6.7
Falsa identidad	7.1
Intrusion	5.3
Jaguar	5.8
Monsters Inside: The 24 Faces of Billy Milligan	6.3
Resurrection: Ertugrul	7.9
Avvai Shanmughi	7.9
Go! Go! Cory Carson: Chrissy Takes the Wheel	6.6
Jeans	6.4
Love on the Spectrum	8.6
Minsara Kanavu	6.7
Grown Ups	6
Dark Skies	6.3
Paranoia	6.8
Ankahi Kahaniya	5.6
Chicago Party Aunt	5.6
Sex Education	8.3
Squid Game	8
The Father Who Moves Mountains	5.6
The Stronghold	6.9
Angry Birds	6.3
Birth of the Dragon	5.7
Chhota Bheem	6.9
He-Man and the Masters of the Universe	7.5
Jaws	8.1
Jaws 2	5.8
Jaws 3	3.7
Jaws: The Revenge	3
My Heroes Were Cowboys	6.7
Safe House	6.7
The Smart Money Woman	6.7
Training Day	7.7
Castle and Castle	8.1
Dharmakshetra	8.5
InuYasha the Movie 2: The Castle Beyond the Looking Glass	7.3
InuYasha the Movie 3: Swords of an Honorable Ruler	7.6
InuYasha the Movie 4: Fire on the Mystic Island	7.2
InuYasha the Movie: Affections Touching Across Time	7.2
Nailed It	7.4
Naruto Shippuden the Movie: Blood Prison	7.1
Naruto Shippûden the Movie: Bonds	6.8
Naruto Shippûden the Movie: The Will of Fire	7
Naruto Shippuden: The Movie	6.7
Naruto Shippuden: The Movie: The Lost Tower	6.7
Naruto the Movie 2: Legend of the Stone of Gelel	8.1
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom	6.3
Naruto the Movie: Ninja Clash in the Land of Snow	7.3
Nightbooks	5.8
Numberblocks	8.6
Saved by the Bell	7.1
Schumacher	7.4
Stories by Rabindranath Tagore	8.6
Too Hot To Handle: Latino	4.7
A StoryBots Space Adventure	6.6
Jack Whitehall: Travels with My Father	7.6
King of Boys	6.2
The World's Most Amazing Vacation Rentals	6.8
You vs. Wild: Out Cold	5.4
Yowamushi Pedal	6.4
Little Singham - Black Shadow	8.6
Tughlaq Durbar	5.3
Tughlaq Durbar (Telugu)	5.3
Kate	6.2
Lucifer	8.1
Metal Shop Masters	5.7
Omo Ghetto: the Saga	7.7
Pokémon Master Journeys: The Series	7.6
Prey	7.1
Titipo Titipo	6.9
